System,Element1,Element2,Element3
Al-B-Ti,Al,B,Ti
Al-C-Co,Al,C,Co
Al-C-Fe,Al,C,Fe
Al-Co-Ni,Al,Co,Ni
Al-Co-Ti,Al,Co,Ti
Al-Co-W,Al,Co,W
Al-Co-Zr,Al,Co,Zr
Al-Cr-Ni,Al,Cr,Ni
Al-Cr-Sn,Al,Cr,Sn
Al-Cr-Ti,Al,Cr,Ti
Al-Cr-V,Al,Cr,V
Al-C-Ti,Al,C,Ti
Al-Cu-Fe,Al,Cu,Fe
Al-Cu-Mn,Al,Cu,Mn
Al-Cu-Ni,Al,Cu,Ni
Al-Cu-Si,Al,Cu,Si
Al-Cu-Sn,Al,Cu,Sn
Al-Cu-Zn,Al,Cu,Zn
Al-Fe-Mn,Al,Fe,Mn
Al-Fe-N,Al,Fe,N
Al-Fe-Si,Al,Fe,Si
Al-Fe-Ti,Al,Fe,Ti
Al-Mn-Ni,Al,Mn,Ni
Al-Mn-Si,Al,Mn,Si
Al-Mn-Ti,Al,Mn,Ti
Al-Mn-Zn,Al,Mn,Zn
Al-Mo-Ni,Al,Mo,Ni
Al-Mo-Ti,Al,Mo,Ti
Al-Nb-Ni,Al,Nb,Ni
Al-Nb-Ti,Al,Nb,Ti
Al-Ni-Ru,Al,Ni,Ru
Al-Ni-Si,Al,Ni,Si
Al-Ni-Ta,Al,Ni,Ta
Al-Ni-Ti,Al,Ni,Ti
Al-Ni-W,Al,Ni,W
Al-Ni-Zn,Al,Ni,Zn
Al-N-Ti,Al,N,Ti
Al-Ru-Ti,Al,Ru,Ti
Al-Si-Sn,Al,Si,Sn
Al-Si-Ti,Al,Si,Ti
Al-Si-Zn,Al,Si,Zn
Al-Sn-Ti,Al,Sn,Ti
Al-Sn-Zn,Al,Sn,Zn
Al-Ta-Ti,Al,Ta,Ti
Al-Ti-V,Al,Ti,V
Al-Ti-W,Al,Ti,W
Al-Ti-Y,Al,Ti,Y
Al-Ti-Zr,Al,Ti,Zr
Al-V-Zr,Al,V,Zr
C-Co-Cr,C,Co,Cr
C-Co-Fe,C,Co,Fe
C-Co-Mo,C,Co,Mo
C-Co-Nb,C,Co,Nb
C-Co-Ni,C,Co,Ni
C-Co-Ta,C,Co,Ta
C-Co-Ti,C,Co,Ti
C-Co-W,C,Co,W
C-Cr-Fe,C,Cr,Fe
